,alltottils,B-cells,DC,Macrophages,Exhausted CD8,T-cells,CD8 T cells,Neutrophils,Cytotoxic cells,Treg,NK CD56dim cells,Mast cells,NK cells,Th1 cells
TCGA.AL.A5DJ.01A.11R.A26U.07,5.705687655,4.836977601,2.786138701,5.660769269,6.018311296,7.090614531,8.84728522,2.799108138,7.519885866,5.398723173,2.41327563,2.559077535,4.696654474,4.611733057
TCGA.GL.A59R.01A.11R.A26U.07,3.243350555,0.586269173,1.7055904,8.261876083,3.447263768,2.141296466,3.282783684,3.626002116,3.737700981,3.346460545,0.836312588,10.79659613,0.918276644,0.720015735
TCGA.GL.A59R.11A.11R.A26U.07,2.927483534,1.458142621,4.008288082,5.810103116,4.075726977,2.68453413,3.690244158,2.579076682,2.989795467,3.885964757,0.79637943,3.348282369,1.193904142,0.747859985
TCGA.HE.A5NF.01A.11R.A26U.07,5.558387546,2.242158767,6.218948643,11.52104194,6.118371092,6.100015312,6.405343883,4.71444075,5.53129929,3.294223723,1.175897004,5.322297493,2.201642268,4.644946455
TCGA.HE.A5NH.01A.11R.A26U.07,3.889627447,0.928418086,1.920869112,8.460489701,3.55499839,3.855417461,4.249249031,3.411507089,4.577068565,1.764261218,1.031370552,7.860226926,1.147789973,3.025613552
TCGA.HE.A5NI.01A.11R.A26U.07,4.687285306,1.374334693,2.957733766,8.732113175,4.202852536,5.235859342,5.731914411,4.392269279,5.969918387,3.874983806,1.05523979,9.95397935,1.962789188,4.237035918
TCGA.HE.A5NJ.01A.11R.A26U.07,3.06986361,0.408512771,1.964714219,6.643639246,3.44387256,2.317998786,2.994745361,4.249133198,3.808318555,2.770786769,0.448900182,7.315440721,0,2.355974734
TCGA.HE.A5NK.01A.11R.A26U.07,6.239694396,1.488639114,5.389038702,10.76880858,6.450982595,6.014171572,6.543080575,5.184343785,7.668602835,4.782015335,4.472091977,9.983076377,4.05857952,5.501948616
TCGA.HE.A5NL.01A.11R.A26U.07,5.683030649,1.464855052,4.216648922,9.945885599,6.255238693,6.666994373,6.503599505,5.286800316,6.759174459,3.795185099,1.423767653,8.505033925,2.433151003,5.660489427
TCGA.MH.A55W.01A.11R.A26U.07,4.906432942,1.128935773,1.152067205,7.76505979,4.933655306,6.805753029,6.539982683,3.880086903,5.714313071,3.357861623,1.032683307,8.71310413,1.151623363,4.950757671
TCGA.MH.A55Z.01A.11R.A26U.07,4.515582308,1.224697988,1.015359562,7.722610831,4.482619615,5.12299801,5.116531643,3.044587439,6.496521554,3.116464571,1.461836922,7.295124644,1.787594699,5.205122686
TCGA.MH.A560.01A.11R.A26U.07,3.410888112,0.642054938,3.721939676,7.632616258,2.930345869,3.603326898,4.204737405,2.84353875,3.713421873,2.290247448,1.014286819,3.484114693,1.362488845,2.755058478
TCGA.MH.A561.01A.11R.A26U.07,5.068495513,3.24032272,4.098266349,9.170275167,5.147667472,5.807009459,6.399819807,4.041929124,5.760949085,3.230863943,0.865542535,8.477319076,1.59523655,4.632244946
TCGA.MH.A562.01A.11R.A26U.07,5.653401005,2.111458567,3.043815571,8.414167283,6.256746243,6.664312436,7.956219422,3.799648733,7.10837491,2.405148272,3.296458424,8.982875642,2.582144509,5.741588329
TCGA.A4.A5Y0.01A.11R.A31O.07,2.302864285,0.131399208,1.594859617,7.028523347,1.875100245,1.995223453,2.984116632,1.948329783,2.775467623,1.60250439,0,1.20485789,0.197098811,1.333366483
TCGA.A4.A6HP.01A.11R.A31O.07,5.240362224,1.830549842,2.526182987,9.5077967,5.606921606,5.717550655,6.748333679,4.761324926,6.457987572,3.08870133,1.617610688,9.591036756,1.991332042,5.03427295
TCGA.B1.A654.01A.11R.A31O.07,4.118065421,4.506986465,3.155102552,7.340792103,4.184730504,4.717136539,4.138644666,2.660659491,4.799731623,2.631406995,1.331662839,7.556318758,1.617702839,2.72451931
