"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI186.TME.H04",2.25013078213143,2.68612509336856,0.255517636699069
"ICP20th.L11.ICPKilo.ROI187.TME.H06",3.3197906364218,2.35927403055408,-0.492749262577573
"ICP20th.L11.ICPKilo.ROI188.TME.H08",1.91897893746656,2.05906946275958,0.101653623409949
"ICP20th.L11.ICPKilo.ROI189.TME.H10",2.2590235915926,3.78458769272639,0.744436798863539
"ICP20th.L11.ICPKilo.ROI19.TME.D03",3.1362711059928,4.00315356480758,0.352086685458174
"ICP20th.L11.ICPKilo.ROI190.TME.H12",1.93676352506899,1.17048564147881,-0.726540577727121
"ICP20th.L11.ICPKilo.ROI191.TME.A03",2.00685162835249,1.91770043534976,-0.0655565844642924
"ICP20th.L11.ICPKilo.ROI20.TME.D05",3.79302268013586,3.29241920462339,-0.204199960721713
"ICP20th.L11.ICPKilo.ROI21.TME.D07",3.20060475382117,2.7874621876207,-0.199392293123827
"ICP20th.L11.ICPKilo.ROI22.TME.D09",2.18634299283395,5.75123061005044,1.39535093904089
"ICP20th.L11.ICPKilo.ROI23.TME.D11",2.92808808310642,2.79585640158879,-0.0666686894706792
"ICP20th.L11.ICPKilo.ROI24.TME.E01",2.49818253143479,2.58332848625827,0.0483522104448597
"ICP20th.L11.ICPKilo.ROI25.TME.E03",2.04986642295929,2.07358903443241,0.0166000927514942
"ICP20th.L11.ICPKilo.ROI26.TME.E05",2.88619811213284,2.56489097627861,-0.170272827883976
"ICP20th.L11.ICPKilo.ROI27.TME.E07",1.74278208935259,1.81046620635942,0.0549690563332914
"ICP20th.L11.ICPKilo.ROI28.TME.E09",1.67879503712359,2.47480365913319,0.559887968741317
"ICP20th.L11.ICPKilo.ROI29.TME.E11",1.25249325572414,1.62730943872044,0.377685775738005
"ICP20th.L11.ICPKilo.ROI30.TME.F01",3.0454164366512,2.47472504480834,-0.299371275817175
"ICP20th.L11.ICPKilo.ROI31.TME.F03",3.9381254798486,3.25527179317674,-0.274731076630537
"ICP20th.L11.ICPKilo.ROI32.TME.F05",3.93579729099991,3.80415215809444,-0.0490809660131477
"ICP20th.L11.ICPKilo.ROI33.TME.F07",4.29237014816428,4.83251403077224,0.170999430383465
"ICP20th.L11.ICPKilo.ROI34.TME.F09",2.86461064536281,3.67854632390591,0.36079669649001
"ICP20th.L11.ICPKilo.ROI35.TME.F11",2.43199767728051,3.10076280486316,0.350481319238088
"ICP20th.L11.ICPKilo.ROI36.TME.G01",4.65245579474901,5.62470815208659,0.273785798891717
