"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI166.TME.D12",101.553110707462,160.840382231377,0.663395237780274
"ICP20th.L11.ICPKilo.ROI167.TME.E02",233.67945575453,267.407113320405,0.19450693999107
"ICP20th.L11.ICPKilo.ROI168.TME.E04",213.534464358902,194.619712990948,-0.133811091112015
"ICP20th.L11.ICPKilo.ROI169.TME.E06",128.823884127924,133.579131393891,0.0522945422297365
"ICP20th.L11.ICPKilo.ROI17.TME.C11",86.4145241347658,87.8170293126098,0.0232269176247888
"ICP20th.L11.ICPKilo.ROI170.TME.E08",76.0975007873822,77.9949576463506,0.0355317839662979
"ICP20th.L11.ICPKilo.ROI171.TME.E10",27.8104991109947,24.6143370636058,-0.176130752674533
"ICP20th.L11.ICPKilo.ROI172.TME.E12",29.5980711909481,25.3697336268589,-0.222394791522978
"ICP20th.L11.ICPKilo.ROI173.TME.F02",17.3784607638309,21.6092327712107,0.314347544526924
"ICP20th.L11.ICPKilo.ROI174.TME.F04",14.3209023049996,18.577284669399,0.375417252889434
"ICP20th.L11.ICPKilo.ROI175.TME.F06",79.7708754772211,82.7949270863277,0.0536802638793992
"ICP20th.L11.ICPKilo.ROI176.TME.F08",159.24323507203,253.530955915052,0.67092982422297
"ICP20th.L11.ICPKilo.ROI177.TME.F10",257.983824767932,242.628463295029,-0.0885318072711447
"ICP20th.L11.ICPKilo.ROI178.TME.F12",441.452194668723,431.894428548727,-0.0315785094851488
"ICP20th.L11.ICPKilo.ROI179.TME.G02",241.409781700255,261.036530147113,0.112767581567842
"ICP20th.L11.ICPKilo.ROI18.TME.D01",219.22031192899,181.981394338284,-0.268590520125207
"ICP20th.L11.ICPKilo.ROI180.TME.G04",103.016618712002,108.651420725972,0.0768299465803839
"ICP20th.L11.ICPKilo.ROI181.TME.G06",81.9673003973241,68.0258921628062,-0.268964510735376
"ICP20th.L11.ICPKilo.ROI182.TME.G08",45.542065788543,49.9899714024112,0.134438968084416
"ICP20th.L11.ICPKilo.ROI183.TME.G10",16.6163737227608,18.9260194213606,0.187765441233585
"ICP20th.L11.ICPKilo.ROI184.TME.G12",151.615479218456,74.1354352280364,-1.03218186197909
"ICP20th.L11.ICPKilo.ROI185.TME.H02",80.5536062211896,67.2142741586346,-0.261181529149908
"ICP20th.L11.ICPKilo.ROI186.TME.H04",245.705802868492,161.316257440778,-0.607040089911509
"ICP20th.L11.ICPKilo.ROI187.TME.H06",92.8407476988362,92.6161522809852,-0.00349431974740178
"ICP20th.L11.ICPKilo.ROI188.TME.H08",209.917450786512,230.403024367096,0.134337549075366
"ICP20th.L11.ICPKilo.ROI189.TME.H10",182.427235291848,241.930828431385,0.407273487509196
"ICP20th.L11.ICPKilo.ROI19.TME.D03",198.313178470838,216.198193253187,0.124573914751203
"ICP20th.L11.ICPKilo.ROI190.TME.H12",232.647440421819,292.31852233119,0.329395931572368
"ICP20th.L11.ICPKilo.ROI191.TME.A03",151.41507180212,90.5513401280675,-0.741700919993402
"ICP20th.L11.ICPKilo.ROI20.TME.D05",345.138044070338,413.444394743106,0.260519801739578
"ICP20th.L11.ICPKilo.ROI21.TME.D07",358.887310456305,479.188471683155,0.417062286965395
"ICP20th.L11.ICPKilo.ROI22.TME.D09",120.695974646552,68.2821788670643,-0.821796561063208
"ICP20th.L11.ICPKilo.ROI23.TME.D11",161.674723078078,163.598265547542,0.0170633137609801
"ICP20th.L11.ICPKilo.ROI24.TME.E01",250.809176388952,323.530154657704,0.367310051825702
"ICP20th.L11.ICPKilo.ROI25.TME.E03",168.718042424188,172.849840139919,0.0349050080644844
"ICP20th.L11.ICPKilo.ROI26.TME.E05",147.038254015969,142.1263861741,-0.0490171208243497
"ICP20th.L11.ICPKilo.ROI27.TME.E07",185.468749400853,264.589189759985,0.512577998974391
"ICP20th.L11.ICPKilo.ROI28.TME.E09",141.027359291422,156.445167942839,0.149682026894698
"ICP20th.L11.ICPKilo.ROI29.TME.E11",139.078695891802,156.524444130182,0.170486533313317
"ICP20th.L11.ICPKilo.ROI30.TME.F01",74.0032477518188,73.9130423726091,-0.00175962862874712
"ICP20th.L11.ICPKilo.ROI31.TME.F03",116.205331715949,77.3375801081728,-0.587434735451406
"ICP20th.L11.ICPKilo.ROI32.TME.F05",61.1877730431494,57.0434506232827,-0.101182137898238
"ICP20th.L11.ICPKilo.ROI33.TME.F07",216.92606297269,286.680824515915,0.402242010316006
"ICP20th.L11.ICPKilo.ROI34.TME.F09",211.986870812192,219.261077787313,0.0486748184583039
"ICP20th.L11.ICPKilo.ROI35.TME.F11",224.742673540016,138.455653291389,-0.698850123939974
"ICP20th.L11.ICPKilo.ROI36.TME.G01",392.640132800311,412.693802489261,0.0718641311812824
"ICP20th.L11.ICPKilo.ROI37.TME.G03",230.350894752561,202.196013706688,-0.188078647020592
"ICP20th.L11.ICPKilo.ROI38.TME.G05",313.841976671014,365.474900068494,0.21973400169364
"ICP20th.L11.ICPKilo.ROI39.TME.G07",389.731782289534,506.944721054498,0.379346852683204
"ICP20th.L11.ICPKilo.ROI40.TME.G09",188.821678979441,257.701270725758,0.448675238352468
"ICP20th.L11.ICPKilo.ROI41.TME.G11",126.167104238879,182.048163595059,0.528984384669124
"ICP20th.L11.ICPKilo.ROI42.TME.H01",191.092897004272,269.304287625765,0.494963045554582
"ICP20th.L11.ICPKilo.ROI43.TME.H03",78.1879283537072,66.0860480971677,-0.242600157014734
"ICP20th.L11.ICPKilo.ROI44.TME.H05",66.3553071658636,52.438473535187,-0.339586168601429
"ICP20th.L11.ICPKilo.ROI45.TME.H07",171.84293254008,198.169311678318,0.205643046786382
"ICP20th.L11.ICPKilo.ROI46.TME.H09",243.11510071678,215.52541504214,-0.17378150305677
"ICP20th.L11.ICPKilo.ROI47.TME.H11",188.273296014111,149.162424444176,-0.335944236374735
"ICP20th.L11.ICPKilo.ROI48.TME.A02",258.028589990071,316.975494454724,0.296840381672579
"ICP20th.L11.ICPKilo.ROI49.TME.A04",271.431227650015,314.312245679983,0.211611771329627
"ICP20th.L11.ICPKilo.ROI50.TME.A06",186.496566618736,216.209279187452,0.21327937056917
"ICP20th.L11.ICPKilo.ROI51.TME.A08",156.176705719033,251.951662825977,0.68996769110345
"ICP20th.L11.ICPKilo.ROI52.TME.A10",74.3012101373695,89.4607156611562,0.267868591548479
"ICP20th.L11.ICPKilo.ROI53.TME.A12",42.5715311934948,37.8151661587462,-0.170924023160866
"ICP20th.L11.ICPKilo.ROI54.TME.B02",82.2738308523399,80.0415185423561,-0.0396850819408296
"ICP20th.L11.ICPKilo.ROI55.TME.B04",84.5568615203864,96.6084956193113,0.192228233773825
"ICP20th.L11.ICPKilo.ROI56.TME.B06",119.001549535899,109.556844552636,-0.119300739821802
"ICP20th.L11.ICPKilo.ROI57.TME.B08",183.15625137543,156.5283646685,-0.226650829934406
"ICP20th.L11.ICPKilo.ROI58.TME.B10",137.424591810821,152.842768628614,0.153408102172933
"ICP20th.L11.ICPKilo.ROI59.TME.B12",154.819880790121,139.516613495798,-0.150153816353666
"ICP20th.L11.ICPKilo.ROI60.TME.C02",207.080605654743,174.465984703521,-0.247246658427732
"ICP20th.L11.ICPKilo.ROI61.TME.C04",199.859406392909,207.105551842054,0.0513807532785
"ICP20th.L11.ICPKilo.ROI62.TME.C06",205.513621140231,364.682660478649,0.827407588882971
"ICP20th.L11.ICPKilo.ROI63.TME.C08",108.874288731485,135.720432755994,0.317974641499309
"ICP20th.L11.ICPKilo.ROI64.TME.C10",24.261707745621,33.495149628799,0.465271093475107
"ICP20th.L11.ICPKilo.ROI65.TME.C12",67.3092387016153,67.4654489215911,0.00334430469974478
"ICP20th.L11.ICPKilo.ROI66.TME.D02",68.3936567297783,67.999136444055,-0.00834610148934711
"ICP20th.L11.ICPKilo.ROI67.TME.D04",41.2116703506694,30.600138544925,-0.429514753825781
"ICP20th.L11.ICPKilo.ROI68.TME.D06",90.7969469553866,92.2666803917328,0.0231659639936099
"ICP20th.L11.ICPKilo.ROI69.TME.D08",86.9810558217649,88.7822223589848,0.0295696009473563
"ICP20th.L11.ICPKilo.ROI70.TME.D10",101.780739024833,86.5724155215214,-0.233485252934938
"ICP20th.L11.ICPKilo.ROI71.TME.D12",208.666516292434,208.777458062037,0.00076683413552292
"ICP20th.L11.ICPKilo.ROI72.TME.E02",242.012188685906,205.878203297709,-0.233288611837613
"ICP20th.L11.ICPKilo.ROI73.TME.E04",213.505555708964,264.907423105417,0.311214659515743
"ICP20th.L11.ICPKilo.ROI74.TME.E06",37.2640419166505,30.2622974180336,-0.300262650922451
"ICP20th.L11.ICPKilo.ROI75.TME.E08",185.498837309062,155.610863401566,-0.253467363883018
"ICP20th.L11.ICPKilo.ROI76.TME.E10",59.1203018019388,60.7012462214885,0.0380725016207837
"ICP20th.L11.ICPKilo.ROI77.TME.E12",88.7294493617046,98.0960399019226,0.144781881171104
