"","x"
"732","MEOX1"
"733","MEP1A"
"734","MGAM"
"735","MGST1"
"736","MIAT"
"737","MIXL1"
"738","MME"
"739","MMP1"
"740","MMP12"
"741","MMP17"
"742","MMP2"
"743","MMP25"
"744","MMP28"
"745","MMP3"
"746","MMP7"
"747","MMP9"
"748","MMRN2"
"749","MNDA"
"750","MPL"
"751","MPP2"
"752","MRC1"
"753","MS4A1"
"754","MS4A14"
"755","MS4A2"
"756","MS4A3"
"757","MS4A4A"
"758","MS4A6A"
"759","MS4A7"
"760","MSC"
"761","MSLN"
"762","MSR1"
"763","MUC1"
"764","MX1"
"765","MXRA8"
"766","MYBPC2"
"767","MYCT1"
"768","MYO7A"
"769","MYOZ3"
"770","NAALADL1"
"771","NAT8L"
"772","NCAM1"
"773","NCF2"
"774","NCR1"
"775","NCR3"
"776","NECAB2"
"777","NEFL"
"778","NELL2"
"779","NETO1"
"780","NFATC1"
"781","NFE2"
"782","NGF"
"783","NID1"
"784","NIPSNAP3B"
"785","NKAIN2"
"786","NKD1"
"787","NKG7"
"788","NLRP3"
"789","NMBR"
"790","NMUR1"
"791","NOD2"
"792","NOG"
"793","NOS3"
"794","NOTCH4"
"795","NOV"
"796","NOX3"
"797","NPAS1"
"798","NPL"
"799","NPM2"
"800","NPR1"
"801","NPTX2"
"802","NR4A1"
"803","NR4A3"
"804","NRCAM"
"805","NRG1"
"806","NRP1"
"807","NT5E"
"808","NTN3"
"809","NTN4"
"810","NTNG1"
"811","NTRK1"
"812","NYNRIN"
"813","OAS2"
"814","OASL"
"815","OLFML2B"
"816","OR2A4"
"817","OR6K3"
"818","OR6N1"
"819","OR6N2"
"820","OSCAR"
"821","OSM"
"822","OTOA"
"823","OTX1"
"824","OXCT2"
"825","P2RX1"
"826","P2RX6"
"827","P2RY10"
"828","P2RY13"
"829","P2RY14"
"830","PADI4"
"831","PALMD"
"832","PAPSS2"
"833","PAQR5"
"834","PATL2"
"835","PAX5"
"836","PAX7"
"837","PCDH12"
"838","PCDH9"
"839","PCDHA5"
"840","PCSK5"
"841","PCSK6"
"842","PCYT1B"
"843","PDCD1"
"844","PDCD1LG2"
"845","PDE3A"
"846","PDE6C"
"847","PDE9A"
"848","PDGFB"
"849","PDGFD"
"850","PDGFRA"
"851","PDGFRB"
"852","PDK4"
"853","PDZK1IP1"
"854","PDZRN3"
"855","PECAM1"
"856","PGLYRP1"
"857","PHEX"
"858","PI16"
"859","PI3"
"860","PID1"
"861","PKD2L2"
"862","PKIB"
"863","PLA1A"
"864","PLA2G4A"
"865","PLA2G7"
"866","PLAG1"
"867","PLCB1"
"868","PLCH2"
"869","PLD4"
"870","PLEKHG1"
"871","PLEKHG7"
"872","PLEKHH2"
"873","PLLP"
"874","PLVAP"
"875","PLXDC1"
"876","PLXNA4"
"877","PMCH"
"878","PNOC"
"879","PODN"
"880","POSTN"
"881","POU2AF1"
"882","POU2F2"
"883","PPARG"
"884","PPBP"
"885","PPFIA4"
"886","PPP2R2B"
"887","PRF1"
"888","PRG2"
"889","PRKAR2B"
"890","PRLR"
"891","PROC"
"892","PROK2"
"893","PROM1"
"894","PRR5L"
"895","PRSS23"
"896","PRSS35"
"897","PSG2"
"898","PTCRA"
"899","PTGDR"
"900","PTGER2"
"901","PTGER3"
"902","PTGER4"
"903","PTGIR"
"904","PTPRCAP"
"905","PTPRM"
"906","PTX4"
"907","PZP"
"908","QPCT"
"909","RAB27B"
"910","RAMP3"
"911","RASA3"
"912","RASD1"
"913","RASGRP1"
"914","RASGRP2"
"915","RASGRP3"
"916","RBM11"
"917","RBM24"
"918","RCAN2"
"919","REG4"
"920","REN"
"921","RENBP"
"922","RFESD"
"923","RGS1"
"924","RGS13"
"925","RGS17"
"926","RHOBTB3"
"927","RIPK3"
"928","RNASE2"
"929","RNASE6"
"930","RNF157"
"931","RNF165"
"932","ROBO1"
"933","ROBO4"
"934","ROR2"
"935","RORC"
"936","RPH3A"
"937","RPL10L"
